644,0.0,0.0,-0.023438
645,-0.0078125,0.023438,0.0
646,-0.023438,-0.0625,-0.03125
647,0.0,-0.0078125,-0.015625
648,-0.0078125,-0.023438,-0.023438
649,0.0078125,0.015625,0.0078125
650,-0.0078125,0.015625,-0.0078125
651,-0.0078125,-0.0078125,-0.0078125
652,-0.015625,-0.015625,0.0078125
653,-0.015625,0.0,0.0
654,-0.023438,0.0,0.0078125
655,-0.0078125,0.0078125,-0.023438
656,-0.03125,-0.039063,-0.015625
657,0.0078125,-0.03125,-0.023438
658,-0.015625,0.0,-0.0078125
659,-0.015625,0.0,-0.015625
660,-0.015625,0.0,-0.023438
661,-0.015625,-0.039063,0.0078125
662,0.0078125,0.023438,0.015625
663,-0.015625,-0.023438,-0.023438
664,0.0,-0.0078125,-0.03125
665,-0.0078125,0.0078125,0.015625
666,0.0,-0.023438,0.0
667,-0.0078125,-0.03125,-0.015625
668,-0.0078125,0.0,-0.0078125
669,-0.015625,0.015625,-0.023438
670,-0.015625,-0.039063,-0.023438
671,0.0,-0.023438,0.0
672,-0.03125,-0.0078125,-0.0078125
673,0.0,-0.0078125,0.0078125
674,-0.0078125,0.0078125,-0.0078125
675,0.0078125,0.0078125,0.0078125
676,-0.023438,0.023438,-0.023438
677,-0.023438,-0.054688,-0.015625
678,0.0078125,0.015625,-0.03125
679,-0.0078125,0.023438,-0.0078125
680,0.0,-0.039063,-0.0078125
681,-0.023438,-0.03125,-0.015625
682,-0.015625,-0.023438,-0.03125
683,0.0078125,0.023438,-0.015625
684,-0.0078125,-0.03125,-0.015625
685,0.0,-0.0078125,-0.0078125
686,-0.03125,-0.023438,-0.0078125
687,-0.015625,-0.015625,-0.015625
688,0.0078125,0.0,0.0
689,0.015625,0.0,0.0078125
690,-0.0078125,-0.0078125,-0.0078125
691,-0.046875,-0.03125,-0.015625
692,-0.015625,-0.015625,-0.015625
693,0.0078125,0.0,-0.0078125
694,-0.015625,0.0078125,-0.015625
695,0.0,-0.039063,-0.0078125
696,-0.023438,0.0078125,-0.0078125
697,-0.015625,0.015625,-0.0078125
698,-0.039063,-0.046875,-0.046875
699,0.0,0.0,-0.023438
700,0.0,-0.015625,0.03125
701,-0.0078125,-0.015625,-0.054688
702,0.0078125,-0.03125,-0.03125
703,-0.015625,-0.0078125,0.0
704,-0.015625,0.0,-0.0078125
705,0.0,0.0,-0.015625
706,-0.015625,-0.0078125,0.0078125
707,-0.023438,-0.046875,-0.023438
708,-0.0078125,0.015625,0.015625
709,-0.03125,-0.03125,-0.015625
710,0.0,0.0,0.0078125
711,-0.015625,0.0078125,-0.015625
712,-0.015625,-0.039063,-0.046875
713,-0.0078125,0.015625,0.03125
714,0.0,-0.0078125,-0.0078125
715,0.0078125,-0.0078125,0.0
716,-0.0078125,-0.015625,-0.03125
717,0.0078125,0.039063,-0.023438
718,-0.023438,-0.070313,-0.03125
719,-0.023438,-0.039063,-0.023438
720,-0.023438,-0.015625,0.0078125
721,-0.0078125,0.023438,-0.0078125
